username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mancho6666;2018-12-10 17:50;0;0;"Dr. Julián López Owen Médico Y Cirujano Médico General Universidad del Valle Consulta con Tiempo y sin Afán, Consultorio Particular. Citas de una hora. Medical Care and Advice for Travelers,... https://www.facebook.com/story.php?story_fbid=2001675953243478&amp;id=100002032782775";;;;"1072186760468275201";https://twitter.com/mancho6666/status/1072186760468275201
kuijii;2018-12-10 17:49;0;0;"I'm at Universidad Del Valle De Cuernavaca in Cuernavaca, Morelos https://www.swarmapp.com/c/hd0VYOupT3g";;;;"1072186544709140481";https://twitter.com/kuijii/status/1072186544709140481
pombocomunica;2018-12-10 16:41;0;0;"Volamos? Atrévete!! @Universidad Del Valle, San Fernando — at Universidad Del Valle, San Fernando https://www.facebook.com/296333253802874/posts/1455928591176662/";;;;"1072169528044478464";https://twitter.com/pombocomunica/status/1072169528044478464
PacifiTIC;2018-12-10 16:08;0;2;"El 30 de Noviembre se realizó la Clausura de entrega de certificados para el curso - Big Data + Cloud Computing en Universidad Universidad del Valle. ¡Felicidades a los graduandos! ";;;;"1072161205299630080";https://twitter.com/PacifiTIC/status/1072161205299630080
sunivalle;2018-12-10 15:55;0;0;"Acaba de publicar una foto en Universidad del valle https://www.instagram.com/p/BrNmsnhHUUr/?utm_source=ig_twitter_share&amp;igshid=1x96g3m2ey9cq";;;;"1072157774073749504";https://twitter.com/sunivalle/status/1072157774073749504
redcaal_uv;2018-12-10 15:20;0;1;"Buenos días, Por favor tengan muy presente esta información. #RedCAAL #Univalle #ÚltimaSemana #Dexway @Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BrNiyohjUVJ/?utm_source=ig_twitter_share&amp;igshid=1o6720fhpofzr";;;#RedCAAL #Univalle #Dexway;"1072149058679132161";https://twitter.com/redcaal_uv/status/1072149058679132161
linamarsilva;2018-12-09 18:03;0;2;"Si ésta es la estrellita, ni les cuento los regalos. El arbolito está en frente de la entrada peatonal de la universidad del valle. ";;;;"1071827723205652481";https://twitter.com/linamarsilva/status/1071827723205652481
Jacobvanetten;2018-12-09 16:37;8;9;"Chaya ("Mayan spinach"), the unknown leafy vegetable packed with nutrients. Research by colleagues at @BioversityInt and Universidad del Valle de Guatemala reveals limited knowledge of consumers and tiny market sales despite high potential. https://cgspace.cgiar.org/bitstream/handle/10568/98431/Value_Amaya_2018.pdf?sequence=1&amp;isAllowed=y";;@BioversityInt;;"1071806067724701696";https://twitter.com/Jacobvanetten/status/1071806067724701696
ArcasGuate;2018-12-09 16:12;1;1;"STARVING TO DEATH WITH PLASTIC! With the Universidad del Valle de Guatemala, the El Banco Hatchery, and the University of Southern Norway ARCAS carried out a necropsy of a juvenile hawksbill which was... https://www.facebook.com/ArcasGuatemala/posts/10156718184298213";;;;"1071799879142301696";https://twitter.com/ArcasGuate/status/1071799879142301696
OracleAcademy;2018-12-09 14:00;1;7;"This week, 100-plus students attended #OracleAcademyDayEnUVM, kindly hosted by Universidad del Valle @UVMMEXICO. @OracleAcademy staff and others presented on innovation, blockchain, cloud security and chatbots - and students learned #Java programming using Alice @AliceProjectCMU.";;@UVMMEXICO @OracleAcademy @AliceProjectCMU;#OracleAcademyDayEnUVM #Java;"1071766444034179072";https://twitter.com/OracleAcademy/status/1071766444034179072
luiscar1972;2018-12-09 11:44;0;1;"Ensayo salsodromo 2018 — estoy viajando a Universidad del Valle";;;;"1071732296699535360";https://twitter.com/luiscar1972/status/1071732296699535360
raiiare;2018-12-09 04:34;0;1;"Cerramos año #uvg con broche de oro! Genial pasar tiempo y aprender tanto de alguien como vos @AdrianaTGG simplemente increíble! en Universidad del Valle de Guatemala https://www.instagram.com/p/BrJ0GHJhVqA/?utm_source=ig_twitter_share&amp;igshid=1yd3tddpimim";;;#uvg;"1071624146486992898";https://twitter.com/raiiare/status/1071624146486992898
DanielEsteban_S;2018-12-09 01:04;0;0;"Ya veo justificando la quema de alumbrado público al frente de la Universidad del Valle por parte de un compañero de mi carrera. Yo respeto toda forma de expresión política, pero en definitiva creo que a veces hacen más que un lavado de cerebro para ir como borregos a violentar. ";;;;"1071571144979951617";https://twitter.com/DanielEsteban_S/status/1071571144979951617
sheetara666;2018-12-08 21:37;0;11;"De un man que es profesor del área de familia en una universidad del Valle de Aburrá y su cátedra cada semestre inicia con un: "Soy homofóbico y al que no le guste de malas". ";;;;"1071519189549154308";https://twitter.com/sheetara666/status/1071519189549154308
sunivalle;2018-12-08 21:01;0;0;"Acaba de publicar una foto en Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BrJAOtpnIA6/?utm_source=ig_twitter_share&amp;igshid=5hvx3nt5hs7n";;;;"1071510088840433664";https://twitter.com/sunivalle/status/1071510088840433664
jluisram;2018-12-08 14:43;0;0;"Governance, Risk management and Compliance... (@Universidad del Valle de México Campus Coyoacan - @uvmmexico in Coyoacan, DF) https://www.swarmapp.com/c/3y8YPnj19XB";;@UVMMEXICO;;"1071415025686974464";https://twitter.com/jluisram/status/1071415025686974464
AlbertoAzuero;2018-12-08 05:03;0;0;"LA UNIVERSIDAD DEL VALLE ES UN ANTRO DE COMUNISMO Y VANDALISMO ";;;;"1071268969510772737";https://twitter.com/AlbertoAzuero/status/1071268969510772737
CaliVers22;2018-12-08 02:18;0;0;"JAJAJAJAJAA si como no moñito. El caso el asesinato de Jhonny Silva estudiante de 5° semestre de Química de la Universidad del Valle, paso impune por 12 años, recién la Corte Interamericana de DD.HH dio orden de restituir a las víctimas y judicializar a los asesinos policías.";;;;"1071227506651475968";https://twitter.com/CaliVers22/status/1071227506651475968
Laqnopertenece;2018-12-08 01:01;0;2;"Por favor difundir Este sujeto ha sido visto en las estaciones del mío agrediendo personas, en especial mujeres, si has sido víctima o conoces a alguien, se realizará una denuncia masiva por parte de estudiantes de la universidad del valle ";;;;"1071208148919291904";https://twitter.com/Laqnopertenece/status/1071208148919291904
sunivalle;2018-12-07 23:27;0;0;"Acaba de publicar una foto en Universidad del Valle - Ciudad Universitaria https://www.instagram.com/p/BrGsHtDHSsq/?utm_source=ig_twitter_share&amp;igshid=umchxhb1o0z8";;;;"1071184388837109760";https://twitter.com/sunivalle/status/1071184388837109760
larandreaa;2018-12-07 23:23;0;1;"O la de la universidad Del Valle de atemajac";;;;"1071183552849489921";https://twitter.com/larandreaa/status/1071183552849489921
juanrojasr8;2018-12-07 21:05;0;0;"No sé si ella es todavía representante estudiantil ante el consejo superior de la Universidad del Valle, pero no le veo importancia recalcar que la mayoría de Univalle sean de Unees. Recibió amenazas en contra de su vida y hay que protegerla como cualquier estudiante de Univalle.";;;;"1071148782266523649";https://twitter.com/juanrojasr8/status/1071148782266523649
